,ID,Rejected,Gender,Car,Realty,Work Phone,Phone,Email,# of Children,Annual Income,Age,Years Employed,Family Size,Income Category,Occupation,Education,Marital Status,Residency
16051,5045394,0,0,0,1,1,1,0,1.0,low,low,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16052,5045395,0,0,0,1,1,1,0,1.0,low,low,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16053,5045396,0,0,0,1,1,1,0,1.0,low,low,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16054,5045397,0,0,0,1,1,1,0,1.0,low,low,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16055,5045398,0,0,0,1,1,1,0,1.0,low,low,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16056,5045399,0,0,0,1,1,1,0,1.0,low,low,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16057,5045400,0,0,0,1,1,1,0,1.0,low,low,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16058,5045401,0,0,0,1,1,1,0,1.0,low,low,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16059,5045402,0,0,0,1,1,1,0,1.0,low,low,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16060,5045403,0,0,0,1,1,1,0,1.0,low,low,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16061,5045404,0,0,0,1,1,1,0,1.0,low,low,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16062,5045405,0,0,0,1,1,1,0,1.0,low,low,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16063,5045406,0,0,0,1,1,1,0,1.0,low,low,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16064,5045408,0,0,0,1,0,0,0,2.0,high,low,lowest,3.0,Commercial associate,Office,Secondary / secondary special,Single / not married,House / apartment
16065,5045409,0,0,0,1,0,0,0,2.0,high,low,lowest,3.0,Commercial associate,Office,Secondary / secondary special,Single / not married,House / apartment
16066,5045410,0,0,0,1,0,0,0,2.0,high,low,lowest,3.0,Commercial associate,Office,Secondary / secondary special,Single / not married,House / apartment
16067,5045412,0,0,1,1,0,0,0,2.0,medium,low,lowest,3.0,Commercial associate,Labor,Secondary / secondary special,Married,House / apartment
16081,5045428,0,1,1,0,0,0,0,0.0,high,lowest,lowest,1.0,Working,Office,Higher education,Single / not married,House / apartment
16082,5045432,0,1,1,1,0,0,0,0.0,low,low,lowest,1.0,Working,Labor,Secondary / secondary special,Single / not married,House / apartment
16083,5045433,0,1,1,0,0,0,0,0.0,low,lowest,lowest,2.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16084,5045434,0,1,0,0,0,0,0,1.0,low,medium,medium,3.0,Working,Labor,Secondary / secondary special,Married,Municipal apartment
16085,5045435,0,1,0,0,0,0,0,1.0,low,medium,medium,3.0,Working,Labor,Secondary / secondary special,Married,Municipal apartment
16086,5045436,0,1,0,0,0,0,0,1.0,low,medium,medium,3.0,Working,Labor,Secondary / secondary special,Married,Municipal apartment
16087,5045437,0,1,0,0,0,0,0,1.0,low,medium,medium,3.0,Working,Labor,Secondary / secondary special,Married,Municipal apartment
16090,5045440,0,1,0,1,0,0,0,0.0,medium,lowest,lowest,1.0,Working,Office,Secondary / secondary special,Single / not married,House / apartment
16091,5045442,0,1,1,1,0,0,0,0.0,low,medium,lowest,2.0,Working,Office,Higher education,Married,House / apartment
16093,5045446,0,0,1,1,0,0,0,0.0,high,high,low,1.0,Working,Labor,Secondary / secondary special,Single / not married,House / apartment
16094,5045448,0,0,1,1,0,0,0,0.0,high,high,low,1.0,Working,Labor,Secondary / secondary special,Single / not married,House / apartment
16095,5045449,0,0,1,1,0,0,0,0.0,high,high,low,1.0,Working,Labor,Secondary / secondary special,Single / not married,House / apartment
16096,5045450,0,0,1,1,0,0,0,0.0,high,high,low,1.0,Working,Labor,Secondary / secondary special,Single / not married,House / apartment
16097,5045452,0,0,1,1,0,0,0,0.0,high,high,low,1.0,Working,Labor,Secondary / secondary special,Single / not married,House / apartment
16098,5045453,0,0,1,1,0,0,0,0.0,high,high,low,1.0,Working,Labor,Secondary / secondary special,Single / not married,House / apartment
16099,5045454,0,0,1,1,0,0,0,0.0,high,high,low,1.0,Working,Labor,Secondary / secondary special,Single / not married,House / apartment
16100,5045455,0,0,1,1,0,0,0,0.0,high,high,low,1.0,Working,Labor,Secondary / secondary special,Single / not married,House / apartment
16101,5045456,0,1,1,0,0,0,0,2.0,medium,medium,low,3.0,Commercial associate,Labor,Secondary / secondary special,Married,House / apartment
16102,5045457,1,1,1,0,0,0,0,2.0,medium,medium,low,1.0,Commercial associate,Labor,Secondary / secondary special,Married,House / apartment
16103,5045459,0,0,0,0,1,1,0,1.0,medium,medium,lowest,3.0,Working,Office,Secondary / secondary special,Married,Municipal apartment
16104,5045460,0,0,0,0,1,1,0,1.0,medium,medium,lowest,3.0,Working,Office,Secondary / secondary special,Married,Municipal apartment
16105,5045461,0,0,0,0,1,1,0,1.0,medium,medium,lowest,3.0,Working,Office,Secondary / secondary special,Married,Municipal apartment
16106,5045462,0,0,1,1,0,0,0,0.0,medium,lowest,lowest,2.0,Commercial associate,High Tech,Secondary / secondary special,Married,House / apartment
16107,5045465,0,0,0,0,1,0,0,0.0,high,low,lowest,1.0,Working,Office,Higher education,Single / not married,Rented apartment
16108,5045466,0,0,0,0,1,0,0,0.0,high,low,lowest,1.0,Working,Office,Higher education,Single / not married,Rented apartment
16109,5045467,0,0,0,0,1,0,0,0.0,high,low,lowest,1.0,Working,Office,Higher education,Single / not married,Rented apartment
16110,5045468,0,0,0,1,0,0,1,0.0,high,low,lowest,2.0,Working,Office,Higher education,Married,House / apartment
16111,5045469,0,0,0,1,0,0,1,0.0,high,low,lowest,2.0,Working,Office,Higher education,Married,House / apartment
16112,5045470,0,0,0,1,0,0,1,0.0,high,low,lowest,2.0,Working,Office,Higher education,Married,House / apartment
16127,5045491,0,0,0,1,0,0,0,0.0,high,low,lowest,2.0,State servant,Office,Higher education,Married,House / apartment
16128,5045493,0,0,0,1,0,0,0,1.0,low,low,lowest,3.0,Working,High Tech,Higher education,Married,House / apartment
16129,5045495,1,0,0,0,0,0,0,1.0,low,low,lowest,3.0,Working,High Tech,Higher education,Married,House / apartment
16130,5045499,0,1,0,1,0,0,0,2.0,high,medium,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16131,5045502,0,0,0,1,0,0,0,0.0,medium,medium,lowest,2.0,Working,High Tech,Secondary / secondary special,Married,House / apartment
16132,5045503,0,0,0,1,0,0,0,0.0,medium,medium,lowest,2.0,Working,High Tech,Secondary / secondary special,Married,House / apartment
16142,5045519,0,0,0,1,1,1,0,0.0,medium,lowest,lowest,1.0,Working,Office,Higher education,Single / not married,House / apartment
16154,5045533,0,1,1,0,0,0,0,2.0,high,lowest,lowest,3.0,State servant,High Tech,Higher education,Married,With parents
16155,5045534,0,1,1,0,0,0,0,2.0,high,lowest,lowest,3.0,State servant,High Tech,Higher education,Married,With parents
16156,5045535,0,1,1,0,0,0,0,2.0,high,lowest,lowest,3.0,State servant,High Tech,Higher education,Married,With parents
16157,5045536,0,1,1,0,0,0,0,2.0,high,lowest,lowest,3.0,State servant,High Tech,Higher education,Married,With parents
16158,5045537,0,1,1,0,0,0,0,2.0,high,lowest,lowest,3.0,State servant,High Tech,Higher education,Married,With parents
16159,5045538,0,1,1,0,0,0,0,2.0,high,lowest,lowest,3.0,State servant,High Tech,Higher education,Married,With parents
16160,5045539,0,1,1,0,0,0,0,2.0,high,lowest,lowest,3.0,State servant,High Tech,Higher education,Married,With parents
16161,5045540,0,1,1,0,0,0,0,2.0,high,lowest,lowest,3.0,State servant,High Tech,Higher education,Married,With parents
16162,5045541,0,1,1,0,0,0,0,2.0,high,lowest,lowest,3.0,State servant,High Tech,Higher education,Married,With parents
16163,5045542,0,1,1,0,0,0,0,2.0,high,lowest,lowest,3.0,State servant,High Tech,Higher education,Married,With parents
16164,5045543,0,1,1,0,0,0,0,2.0,high,lowest,lowest,3.0,State servant,High Tech,Higher education,Married,With parents
16165,5045544,0,1,1,0,0,0,0,2.0,high,lowest,lowest,3.0,State servant,High Tech,Higher education,Married,With parents
16166,5045545,0,1,1,0,0,0,0,2.0,high,lowest,lowest,3.0,State servant,High Tech,Higher education,Married,With parents
16167,5045546,0,1,1,0,0,0,0,2.0,high,lowest,lowest,3.0,State servant,High Tech,Higher education,Married,With parents
16168,5045547,0,1,1,0,0,0,0,2.0,high,lowest,lowest,3.0,State servant,High Tech,Higher education,Married,With parents
16169,5045548,0,1,1,0,0,0,0,2.0,high,lowest,lowest,3.0,State servant,High Tech,Higher education,Married,With parents
16170,5045549,0,1,1,0,0,0,0,2.0,high,lowest,lowest,3.0,State servant,High Tech,Higher education,Married,With parents
16171,5045550,0,1,1,0,0,0,0,2.0,high,lowest,lowest,3.0,State servant,High Tech,Higher education,Married,With parents
16172,5045551,0,1,1,0,0,0,0,1.0,medium,medium,lowest,3.0,State servant,Labor,Secondary / secondary special,Married,House / apartment
16173,5045554,0,1,1,0,0,0,0,1.0,medium,medium,lowest,3.0,State servant,Labor,Secondary / secondary special,Married,House / apartment
16174,5045555,0,1,1,0,0,0,0,1.0,medium,medium,lowest,3.0,State servant,Labor,Secondary / secondary special,Married,House / apartment
16184,5045567,0,0,0,1,1,0,0,0.0,low,high,low,2.0,Working,Office,Secondary / secondary special,Married,House / apartment
16185,5045568,0,0,0,1,1,0,0,0.0,low,high,low,2.0,Working,Office,Secondary / secondary special,Married,House / apartment
16186,5045569,0,0,0,1,1,0,0,0.0,low,high,low,2.0,Working,Office,Secondary / secondary special,Married,House / apartment
16187,5045571,0,0,0,1,1,0,0,0.0,low,high,low,2.0,Working,Office,Secondary / secondary special,Married,House / apartment
16194,5045582,0,0,0,1,0,0,0,2.0,medium,lowest,lowest,3.0,Working,Labor,Secondary / secondary special,Separated,House / apartment
16195,5045583,0,0,0,1,0,0,0,2.0,medium,lowest,lowest,3.0,Working,Labor,Secondary / secondary special,Separated,House / apartment
16218,5045614,0,1,1,1,0,0,0,1.0,high,medium,lowest,3.0,Working,Labor,Higher education,Married,House / apartment
16219,5045615,0,1,1,1,0,0,0,1.0,high,medium,lowest,3.0,Working,Labor,Higher education,Married,House / apartment
16220,5045618,0,1,1,1,0,0,0,1.0,high,medium,lowest,3.0,Working,Labor,Higher education,Married,House / apartment
16221,5045620,0,0,0,1,0,0,0,1.0,high,medium,lowest,3.0,State servant,Office,Secondary / secondary special,Married,House / apartment
16222,5045622,0,0,0,1,0,0,0,1.0,high,medium,lowest,3.0,State servant,Office,Secondary / secondary special,Married,House / apartment
16223,5045623,0,0,0,1,0,0,0,1.0,high,medium,lowest,3.0,State servant,Office,Secondary / secondary special,Married,House / apartment
16224,5045624,0,0,0,1,0,0,0,1.0,high,medium,lowest,3.0,State servant,Office,Secondary / secondary special,Married,House / apartment
16225,5045625,0,0,0,1,0,0,0,1.0,high,medium,lowest,3.0,State servant,Office,Secondary / secondary special,Married,House / apartment
16226,5045626,0,0,0,1,0,0,0,1.0,high,medium,lowest,3.0,State servant,Office,Secondary / secondary special,Married,House / apartment
16227,5045627,0,0,0,1,0,0,0,1.0,high,medium,lowest,3.0,State servant,Office,Secondary / secondary special,Married,House / apartment
16228,5045628,0,0,0,1,0,0,0,1.0,high,medium,lowest,3.0,State servant,Office,Secondary / secondary special,Married,House / apartment
16229,5045629,0,0,0,1,0,0,0,1.0,high,medium,lowest,3.0,State servant,Office,Secondary / secondary special,Married,House / apartment
16230,5045630,0,0,0,1,0,0,0,1.0,high,medium,lowest,3.0,State servant,Office,Secondary / secondary special,Married,House / apartment
16231,5045631,0,0,0,1,0,0,0,1.0,high,medium,lowest,3.0,State servant,Office,Secondary / secondary special,Married,House / apartment
16232,5045632,0,0,0,1,0,0,0,1.0,high,medium,lowest,3.0,State servant,Office,Secondary / secondary special,Married,House / apartment
16233,5045633,0,0,0,1,0,0,0,1.0,high,medium,lowest,3.0,State servant,Office,Secondary / secondary special,Married,House / apartment
16234,5045634,0,0,0,1,1,0,0,1.0,medium,lowest,lowest,3.0,Working,Office,Incomplete higher,Married,House / apartment
16235,5045635,0,0,0,1,1,0,0,1.0,medium,lowest,lowest,3.0,Working,Office,Incomplete higher,Married,House / apartment
16236,5045636,0,1,1,1,1,0,0,1.0,medium,medium,low,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16237,5045637,0,1,1,1,1,0,0,1.0,medium,medium,low,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16238,5045638,0,1,1,1,1,0,0,1.0,medium,medium,low,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16239,5045639,0,1,1,1,1,0,0,1.0,medium,medium,low,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16240,5045640,0,1,1,1,1,0,0,1.0,medium,medium,low,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16241,5045641,0,1,1,1,1,0,0,1.0,medium,medium,low,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16242,5045642,0,1,1,1,1,0,0,1.0,medium,medium,low,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16243,5045643,0,1,1,1,1,0,0,1.0,medium,medium,low,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16244,5045644,0,1,1,1,1,0,0,1.0,medium,medium,low,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16256,5045659,0,1,1,1,0,0,0,0.0,medium,lowest,lowest,1.0,State servant,Office,Higher education,Single / not married,House / apartment
16257,5045660,0,1,1,1,0,0,0,0.0,medium,lowest,lowest,1.0,State servant,Office,Higher education,Single / not married,House / apartment
16258,5045661,0,1,1,1,0,0,0,0.0,medium,lowest,lowest,1.0,State servant,Office,Higher education,Single / not married,House / apartment
16259,5045662,0,0,0,1,1,1,0,0.0,medium,medium,low,2.0,Working,High Tech,Secondary / secondary special,Married,House / apartment
16260,5045665,0,0,0,1,1,1,0,0.0,medium,medium,low,2.0,Working,High Tech,Secondary / secondary special,Married,House / apartment
16261,5045669,0,0,0,1,1,1,0,0.0,medium,medium,low,2.0,Working,High Tech,Secondary / secondary special,Married,House / apartment
16262,5045670,0,0,0,1,1,1,0,0.0,medium,medium,low,2.0,Working,High Tech,Secondary / secondary special,Married,House / apartment
16263,5045672,0,0,0,1,0,0,0,1.0,high,low,low,3.0,State servant,Office,Secondary / secondary special,Civil marriage,House / apartment
16264,5045675,0,0,0,1,0,0,0,1.0,high,low,low,3.0,State servant,Office,Secondary / secondary special,Civil marriage,House / apartment
16265,5045676,0,0,0,1,0,0,0,1.0,high,low,low,3.0,State servant,Office,Secondary / secondary special,Civil marriage,House / apartment
16266,5045677,0,0,0,1,0,0,0,1.0,high,low,low,3.0,State servant,Office,Secondary / secondary special,Civil marriage,House / apartment
16267,5045678,0,0,0,1,0,0,0,1.0,high,low,low,3.0,State servant,Office,Secondary / secondary special,Civil marriage,House / apartment
16268,5045679,0,0,0,1,0,0,0,1.0,high,low,low,3.0,State servant,Office,Secondary / secondary special,Civil marriage,House / apartment
16269,5045681,0,0,0,1,1,1,0,1.0,high,low,lowest,3.0,Working,High Tech,Higher education,Married,House / apartment
16270,5045682,0,0,0,1,1,1,0,1.0,high,low,lowest,3.0,Working,High Tech,Higher education,Married,House / apartment
16271,5045683,0,0,0,1,1,1,0,1.0,high,low,lowest,3.0,Working,High Tech,Higher education,Married,House / apartment
16272,5045684,0,0,0,1,1,1,0,1.0,high,low,lowest,3.0,Working,High Tech,Higher education,Married,House / apartment
16273,5045685,0,0,0,1,1,1,0,1.0,high,low,lowest,3.0,Working,High Tech,Higher education,Married,House / apartment
16274,5045687,0,0,0,1,1,1,0,0.0,high,low,low,1.0,Commercial associate,Labor,Higher education,Single / not married,House / apartment
16275,5045688,0,0,0,1,1,1,0,0.0,high,low,low,1.0,Commercial associate,Labor,Higher education,Single / not married,House / apartment
16276,5045689,0,0,0,1,1,1,0,0.0,high,low,low,1.0,Commercial associate,Labor,Higher education,Single / not married,House / apartment
16277,5045690,0,0,0,1,1,1,0,0.0,high,low,low,1.0,Commercial associate,Labor,Higher education,Single / not married,House / apartment
16278,5045692,0,0,0,1,1,1,0,0.0,high,low,low,1.0,Commercial associate,Labor,Higher education,Single / not married,House / apartment
16279,5045693,0,0,0,1,1,1,0,0.0,high,low,low,1.0,Commercial associate,Labor,Higher education,Single / not married,House / apartment
16280,5045694,0,0,0,1,1,1,0,0.0,high,low,low,1.0,Commercial associate,Labor,Higher education,Single / not married,House / apartment
16281,5045695,0,0,0,1,1,1,0,0.0,high,low,low,1.0,Commercial associate,Labor,Higher education,Single / not married,House / apartment
16282,5045696,0,0,0,1,0,0,0,1.0,low,lowest,lowest,3.0,Commercial associate,Labor,Secondary / secondary special,Married,House / apartment
16283,5045697,0,0,0,1,0,0,0,1.0,low,lowest,lowest,3.0,Commercial associate,Labor,Secondary / secondary special,Married,House / apartment
16284,5045698,0,0,0,1,0,0,0,1.0,low,lowest,lowest,3.0,Commercial associate,Labor,Secondary / secondary special,Married,House / apartment
16285,5045699,0,0,0,1,0,0,0,1.0,low,lowest,lowest,3.0,Commercial associate,Labor,Secondary / secondary special,Married,House / apartment
16286,5045700,0,0,0,1,0,0,0,0.0,low,medium,lowest,1.0,Commercial associate,High Tech,Higher education,Separated,House / apartment
16287,5045701,0,0,0,1,0,0,0,0.0,low,medium,lowest,1.0,Commercial associate,High Tech,Higher education,Separated,House / apartment
16288,5045704,0,0,0,1,0,0,0,0.0,low,medium,lowest,1.0,Commercial associate,High Tech,Higher education,Separated,House / apartment
16289,5045706,0,0,0,1,0,0,0,0.0,low,medium,lowest,1.0,Commercial associate,High Tech,Higher education,Separated,House / apartment
16290,5045708,0,1,0,1,0,0,0,0.0,medium,lowest,lowest,1.0,Commercial associate,Office,Higher education,Separated,House / apartment
16291,5045709,0,1,0,1,0,0,0,0.0,medium,lowest,lowest,1.0,Commercial associate,Office,Higher education,Separated,House / apartment
16292,5045710,0,1,0,1,0,0,0,0.0,medium,lowest,lowest,1.0,Commercial associate,Office,Higher education,Separated,House / apartment
16293,5045711,0,1,0,1,0,0,0,0.0,medium,lowest,lowest,1.0,Commercial associate,Office,Higher education,Separated,House / apartment
16294,5045712,0,0,1,1,0,0,0,1.0,medium,medium,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16295,5045713,0,0,1,1,0,0,0,1.0,medium,medium,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16296,5045714,0,0,1,1,0,0,0,1.0,medium,medium,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16297,5045717,0,1,1,1,0,0,0,1.0,high,low,lowest,3.0,Working,High Tech,Higher education,Married,House / apartment
16298,5045718,0,1,1,1,0,0,0,1.0,high,low,lowest,3.0,Working,High Tech,Higher education,Married,House / apartment
16299,5045721,0,1,0,0,0,0,0,1.0,medium,lowest,lowest,2.0,Commercial associate,Labor,Higher education,Separated,House / apartment
16300,5045722,0,1,0,0,0,0,0,1.0,medium,lowest,lowest,2.0,Commercial associate,Labor,Higher education,Separated,House / apartment
16301,5045723,0,1,0,0,0,0,0,1.0,medium,lowest,lowest,2.0,Commercial associate,Labor,Higher education,Separated,House / apartment
16302,5045724,0,1,0,0,0,0,0,1.0,medium,lowest,lowest,2.0,Commercial associate,Labor,Higher education,Separated,House / apartment
16303,5045725,0,1,0,0,0,0,0,1.0,medium,lowest,lowest,2.0,Commercial associate,Labor,Higher education,Separated,House / apartment
16311,5045734,0,1,1,0,0,0,0,0.0,high,lowest,lowest,1.0,Working,Labor,Higher education,Single / not married,House / apartment
16312,5045735,0,1,1,0,0,0,0,0.0,high,lowest,lowest,1.0,Working,Labor,Higher education,Single / not married,House / apartment
16314,5045739,0,1,0,0,0,0,0,0.0,high,lowest,lowest,1.0,Commercial associate,Labor,Incomplete higher,Single / not married,House / apartment
16315,5045741,0,1,0,0,0,0,0,0.0,high,lowest,lowest,1.0,Commercial associate,Labor,Incomplete higher,Single / not married,House / apartment
16317,5045745,0,1,1,1,0,0,0,0.0,medium,medium,lowest,2.0,Commercial associate,Labor,Secondary / secondary special,Married,House / apartment
16318,5045748,0,1,1,1,0,0,0,0.0,medium,medium,lowest,2.0,Commercial associate,Labor,Secondary / secondary special,Married,House / apartment
16319,5045754,0,1,1,1,0,0,0,0.0,medium,medium,lowest,2.0,Commercial associate,Labor,Secondary / secondary special,Married,House / apartment
16320,5045755,0,1,1,1,0,0,0,0.0,medium,medium,lowest,2.0,Commercial associate,Labor,Secondary / secondary special,Married,House / apartment
16321,5045756,0,0,1,0,0,0,0,2.0,high,low,lowest,3.0,Commercial associate,Office,Higher education,Separated,House / apartment
16322,5045758,0,0,1,0,0,1,0,0.0,high,high,lowest,2.0,Working,Office,Higher education,Married,House / apartment
16323,5045759,0,0,1,0,0,1,0,0.0,high,high,lowest,2.0,Working,Office,Higher education,Married,House / apartment
16324,5045760,0,0,1,0,0,1,0,0.0,high,high,lowest,2.0,Working,Office,Higher education,Married,House / apartment
16325,5045761,0,0,1,0,0,1,0,0.0,high,high,lowest,2.0,Working,Office,Higher education,Married,House / apartment
16326,5045762,0,0,1,0,0,1,0,0.0,high,high,lowest,2.0,Working,Office,Higher education,Married,House / apartment
16327,5045763,0,0,0,0,0,1,0,0.0,high,low,lowest,2.0,Commercial associate,Office,Higher education,Married,House / apartment
16328,5045765,0,0,0,0,0,1,0,0.0,high,low,lowest,2.0,Commercial associate,Office,Higher education,Married,House / apartment
16329,5045766,0,0,0,0,0,1,0,0.0,high,low,lowest,2.0,Commercial associate,Office,Higher education,Married,House / apartment
16335,5045772,0,1,0,1,0,0,0,1.0,medium,lowest,lowest,3.0,Working,High Tech,Higher education,Married,House / apartment
16336,5045773,0,1,0,1,0,0,0,1.0,medium,lowest,lowest,3.0,Working,High Tech,Higher education,Married,House / apartment
16337,5045774,0,1,0,1,0,0,0,1.0,medium,lowest,lowest,3.0,Working,High Tech,Higher education,Married,House / apartment
16338,5045775,0,1,0,1,0,0,0,1.0,medium,lowest,lowest,3.0,Working,High Tech,Higher education,Married,House / apartment
16339,5045776,0,1,0,1,0,0,0,1.0,medium,lowest,lowest,3.0,Working,High Tech,Higher education,Married,House / apartment
16340,5045777,0,1,0,1,0,0,0,1.0,medium,lowest,lowest,3.0,Working,High Tech,Higher education,Married,House / apartment
16341,5045778,0,1,0,1,0,0,0,1.0,medium,lowest,lowest,3.0,Working,High Tech,Higher education,Married,House / apartment
16345,5045783,0,0,1,0,0,0,0,0.0,high,lowest,lowest,2.0,State servant,High Tech,Higher education,Civil marriage,House / apartment
16346,5045784,0,0,1,0,0,0,0,0.0,high,lowest,lowest,2.0,State servant,High Tech,Higher education,Civil marriage,House / apartment
16347,5045785,0,1,1,0,0,0,1,0.0,high,low,lowest,2.0,Commercial associate,High Tech,Higher education,Civil marriage,House / apartment
16348,5045786,0,1,1,0,0,0,1,0.0,high,low,lowest,2.0,Commercial associate,High Tech,Higher education,Civil marriage,House / apartment
16352,5045796,0,0,1,0,0,0,0,0.0,medium,lowest,lowest,2.0,Working,Office,Higher education,Married,House / apartment
16353,5045797,0,0,1,0,0,0,0,0.0,medium,lowest,lowest,2.0,Working,Office,Higher education,Married,House / apartment
16354,5045798,0,0,1,0,0,0,0,0.0,medium,lowest,lowest,2.0,Working,Office,Higher education,Married,House / apartment
16355,5045799,0,0,1,0,0,0,0,0.0,medium,lowest,lowest,2.0,Working,Office,Higher education,Married,House / apartment
16356,5045800,0,1,1,1,0,1,0,1.0,high,low,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16357,5045802,0,1,1,1,0,1,0,1.0,high,low,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16375,5045829,0,0,0,1,0,0,0,0.0,low,low,lowest,2.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16376,5045830,0,0,0,1,0,0,0,0.0,low,low,lowest,2.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16377,5045831,0,0,0,1,0,0,0,0.0,low,low,lowest,2.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16378,5045832,0,0,0,0,0,0,0,1.0,high,medium,lowest,2.0,Working,Office,Secondary / secondary special,Separated,House / apartment
16379,5045833,0,0,0,0,0,0,0,1.0,high,medium,lowest,2.0,Working,Office,Secondary / secondary special,Separated,House / apartment
16380,5045834,0,0,0,0,0,0,0,1.0,high,medium,lowest,2.0,Working,Office,Secondary / secondary special,Separated,House / apartment
16381,5045835,0,0,0,0,0,0,0,1.0,high,medium,lowest,2.0,Working,Office,Secondary / secondary special,Separated,House / apartment
16382,5045838,0,0,0,0,0,0,0,1.0,high,medium,lowest,2.0,Working,Office,Secondary / secondary special,Separated,House / apartment
16383,5045839,0,0,0,0,0,0,0,1.0,high,medium,lowest,2.0,Working,Office,Secondary / secondary special,Separated,House / apartment
16386,5045845,0,0,1,1,0,0,0,2.0,high,low,lowest,3.0,Commercial associate,High Tech,Higher education,Married,With parents
16387,5045846,0,0,1,1,0,0,0,2.0,high,low,lowest,3.0,Commercial associate,High Tech,Higher education,Married,With parents
16388,5045847,0,0,1,1,0,0,0,2.0,high,low,lowest,3.0,Commercial associate,High Tech,Higher education,Married,With parents
16389,5045848,0,0,1,1,0,0,0,2.0,high,low,lowest,3.0,Commercial associate,High Tech,Higher education,Married,With parents
16390,5045849,0,0,1,1,0,0,0,2.0,high,low,lowest,3.0,Commercial associate,High Tech,Higher education,Married,With parents
16391,5045850,0,0,1,1,0,0,0,2.0,high,low,lowest,3.0,Commercial associate,High Tech,Higher education,Married,With parents
16392,5045851,0,0,1,1,0,0,0,2.0,high,low,lowest,3.0,Commercial associate,High Tech,Higher education,Married,With parents
16393,5045852,0,0,1,1,0,0,0,2.0,high,low,lowest,3.0,Commercial associate,High Tech,Higher education,Married,With parents
16394,5045853,0,0,1,1,0,0,0,2.0,high,low,lowest,3.0,Commercial associate,High Tech,Higher education,Married,With parents
16395,5045854,0,0,1,1,0,0,0,2.0,high,low,lowest,3.0,Commercial associate,High Tech,Higher education,Married,With parents
16396,5045855,0,0,1,1,0,0,0,2.0,high,low,lowest,3.0,Commercial associate,High Tech,Higher education,Married,With parents
16397,5045856,0,0,1,1,0,0,0,2.0,high,low,lowest,3.0,Commercial associate,High Tech,Higher education,Married,With parents
16398,5045857,0,0,1,1,0,0,0,2.0,high,low,lowest,3.0,Commercial associate,High Tech,Higher education,Married,With parents
16399,5045858,0,0,1,1,0,0,0,2.0,high,low,lowest,3.0,Commercial associate,High Tech,Higher education,Married,With parents
16407,5045866,0,0,1,1,0,0,0,1.0,high,medium,lowest,3.0,Commercial associate,High Tech,Higher education,Married,House / apartment
16408,5045867,0,0,1,1,0,0,0,1.0,high,medium,lowest,3.0,Commercial associate,High Tech,Higher education,Married,House / apartment
16409,5045868,0,0,1,1,0,0,0,1.0,high,medium,lowest,3.0,Commercial associate,High Tech,Higher education,Married,House / apartment
16410,5045869,1,0,1,1,0,0,0,1.0,high,medium,lowest,3.0,Commercial associate,High Tech,Higher education,Married,House / apartment
16411,5045876,0,1,1,0,0,0,0,1.0,medium,lowest,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16412,5045877,0,1,1,0,0,0,0,1.0,medium,lowest,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16413,5045878,0,1,1,0,0,0,0,1.0,medium,lowest,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
16414,5045879,0,1,1,0,0,0,0,1.0,medium,lowest,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
